episode,reward sum,average delay,cache hit ratio
5.0000,84947.1083,29.4545,0.9546
10.0000,84659.7759,29.6017,0.9532
15.0000,84965.3543,29.6634,0.9530
20.0000,80954.4717,34.2461,0.9152
25.0000,84871.3874,29.4848,0.9545
30.0000,85156.2011,29.5114,0.9541
35.0000,85027.3214,29.5362,0.9536
40.0000,84411.0631,29.7110,0.9514
45.0000,84536.3318,29.8009,0.9513
50.0000,84835.9011,29.5772,0.9535
55.0000,84765.4210,29.4469,0.9548
60.0000,84649.1959,29.9335,0.9501
65.0000,84825.8213,29.7369,0.9518
70.0000,79601.2616,36.6189,0.8922
75.0000,84807.2707,29.5630,0.9535
80.0000,85047.8488,29.4293,0.9549
85.0000,79744.9968,36.2195,0.8962
90.0000,84650.7091,29.5354,0.9537
95.0000,79266.3279,36.4487,0.8935
100.0000,84825.0454,29.7615,0.9518
105.0000,68991.3828,47.5144,0.7692
110.0000,61520.1799,57.6429,0.7186
115.0000,74771.7053,42.7997,0.8288
120.0000,70625.9448,48.2896,0.7807
125.0000,69588.1703,47.6820,0.7679
130.0000,66576.8538,51.9554,0.7352
135.0000,65856.0261,52.2782,0.7664
140.0000,59219.8985,60.0556,0.6932
145.0000,55881.3269,64.1227,0.6100
150.0000,74740.6079,42.8504,0.8293
155.0000,61177.8939,59.3094,0.6696
160.0000,65644.8104,52.2802,0.7266
165.0000,69539.9226,47.2952,0.7718
170.0000,73105.5667,44.5042,0.8108
175.0000,60176.2629,59.4311,0.7011
180.0000,71027.2691,47.2667,0.7845
185.0000,72166.2402,43.7677,0.7979
190.0000,67501.5240,49.5289,0.7490
195.0000,77081.9978,39.3012,0.8557
200.0000,70959.0573,45.1905,0.7912
205.0000,55934.9825,63.9350,0.6101
210.0000,74262.5701,42.5041,0.8311
215.0000,75824.5287,39.5243,0.8487
220.0000,65269.6826,53.1748,0.7574
225.0000,67071.9027,49.6124,0.7473
230.0000,69767.9823,47.2243,0.7707
235.0000,73388.4400,42.7660,0.8154
240.0000,66729.6720,50.4199,0.7402
245.0000,62965.4888,57.7307,0.7317
250.0000,65412.4032,52.8833,0.7229
255.0000,64289.5452,53.8615,0.7053
260.0000,78281.5855,38.4410,0.8717
265.0000,73162.0369,43.8756,0.8110
270.0000,60771.7247,59.7889,0.7080
275.0000,67222.3232,52.4937,0.7398
280.0000,72999.6513,44.5185,0.8091
285.0000,63693.3644,53.5876,0.7052
290.0000,63778.3914,54.1608,0.7027
295.0000,61502.7274,56.4929,0.7016
300.0000,62393.9058,58.4591,0.7293
305.0000,82663.6706,32.4285,0.9237
310.0000,68590.3891,48.5774,0.7649
315.0000,71584.5090,45.9370,0.7970
320.0000,74762.9953,40.6031,0.8299
